invoice_number,deduction_amount,deduction_date,sku,deducted_qty,standard_customer,deduction_reason,billed_qty,net_price_per_qty,pod_shortage,customer_sign,carrier_sign,subject_to_count,validation_status,invalid_reason,invalid_amount,valid_amount,RCA,Recommendations,warehouse,region,carrier
14435,629.21,8/28/2024,SKU110,21,BJ's,OSD,24,58.8,5,yes,yes,no,valid,,0,629.21,,,WH2,Northeast,XPO
14482,2496.34,8/28/2024,SKU137,38,BJ's,OSD,41,57.3,0,yes,yes,no,partially invalid,pod supports partial shortages,1099.98,1396.36,Price Mismatch,Could be a gross vs net issue. Educate the customer to take deduction on net price,WH3,Midwest,XPO
14604,1181.99,8/28/2024,SKU148,6,Kroger,OSD,7,20.45,5,yes,yes,no,partially invalid,pod supports partial shortages,673.08,508.91,Load Sequencing,Contact the warehouse and they need to fix the issue with the carrier,WH3,East,XPO
14604,1962.74,8/28/2024,SKU124,20,Walmart,OSD,21,56.62,3,yes,yes,no,partially invalid,pod supports partial shortages,654.37,1308.37,Order Split,Notify the customers if their order is going in multiple shipments in advance to avoid this.,WH1,Southeast,XPO
14604,1475.02,8/28/2024,SKU147,11,BJ's,OSD,12,58.96,5,yes,yes,no,invalid,pod does not support shortages,1475.02,0,Product Substitution,Work with sales team to communicate for new sku or substitution policy if original sku is not in stock,WH1,Northwest,XPO
14604,2971.73,8/28/2024,SKU135,44,Supervalu,OSD,46,57.32,0,yes,yes,no,partially invalid,pod supports partial shortages,1274.6,1697.13,Combined Shipment,Contact the customer and check if they have mixed it with another order.,WH1,South,XPO
10106,2641.49,8/29/2024,SKU103,15,BJ's,OSD,16,66.63,5,yes,yes,no,partially invalid,pod supports partial shortages,1119.14,1522.35,Load Sequencing,Contact the warehouse and they need to fix the issue with the carrier,WH1,Midwest,XPO
10106,4125.26,8/29/2024,SKU122,12,Target,OSD,15,44.63,3,yes,yes,no,valid,,0,4125.26,,,WH3,South,XPO
10106,2800.96,8/29/2024,SKU128,9,Walmart,OSD,10,48.37,2,yes,yes,no,partially invalid,pod supports partial shortages,2463.04,337.92,Product Substitution,Work with sales team to communicate for new sku or substitution policy if original sku is not in stock,WH4,Northwest,XPO
10275,2362.58,8/29/2024,SKU140,39,Costco,OSD,41,74.84,1,yes,yes,no,valid,,0,2362.58,,,WH4,West,XPO
10275,4811.55,8/29/2024,SKU146,2,Dollar General,OSD,4,14.48,3,yes,yes,no,valid,,0,4811.55,,,WH2,Midwest,XPO
10275,1727.44,8/29/2024,SKU108,29,BJ's,OSD,34,92.86,4,yes,yes,no,partially invalid,pod supports partial shortages,214.02,1513.42,Order Split,Notify the customers if their order is going in multiple shipments in advance to avoid this.,WH1,East,XPO
10395,2471.42,8/29/2024,SKU138,30,Meijer,OSD,34,15.75,5,yes,yes,no,partially invalid,pod supports partial shortages,1690.57,780.85,Unit of Measurement,Create a master table to map all SKUs with the unit of measurement and educate the customer to follow the table for orders and deductions,WH2,West,XPO
10395,635.03,8/29/2024,SKU130,25,BJ's,OSD,29,43.8,4,yes,yes,no,partially invalid,pod supports partial shortages,297.64,337.39,Combined Shipment,Contact the customer and check if they have mixed it with another order.,WH1,South,XPO
10395,1437.78,8/29/2024,SKU147,43,Amazon,OSD,46,59.09,4,yes,yes,no,valid,,0,1437.78,,,WH4,Northeast,XPO
10568,1874.33,8/29/2024,SKU147,31,BJ's,OSD,35,83.36,4,yes,yes,no,partially invalid,pod supports partial shortages,1290.69,583.64,Combined Shipment,Contact the customer and check if they have mixed it with another order.,WH4,Midwest,XPO
10568,3634.86,8/29/2024,SKU120,18,Target,OSD,20,69,1,yes,yes,no,invalid,pod does not support shortages,3634.86,0,Product Substitution,Work with sales team to communicate for new sku or substitution policy if original sku is not in stock,WH4,Northeast,XPO
10568,312.31,8/29/2024,SKU113,32,Costco,OSD,37,65.08,3,yes,yes,no,invalid,unit_of_measurement,312.31,0,Unit of Measurement,Create a master table to map all SKUs with the unit of measurement and educate the customer to follow the table for orders and deductions,WH3,Midwest,XPO
10568,1159.65,8/29/2024,SKU128,11,Supervalu,OSD,16,24.82,0,yes,yes,no,invalid,unit_of_measurement,1159.65,0,Unit of Measurement,Create a master table to map all SKUs with the unit of measurement and educate the customer to follow the table for orders and deductions,WH3,West,XPO
10653,4737.22,8/29/2024,SKU122,18,Target,OSD,18,98.69,0,yes,yes,no,valid,,0,4737.22,,,WH4,Northeast,XPO
10653,2165.33,8/29/2024,SKU123,2,Amazon,OSD,3,28.06,1,yes,yes,no,partially invalid,pod supports partial shortages,1195.89,969.44,Load Sequencing,Contact the warehouse and they need to fix the issue with the carrier,WH1,East,XPO
10653,2260.57,8/29/2024,SKU105,32,Meijer,OSD,36,19.01,1,yes,yes,no,valid,,0,2260.57,,,WH4,Midwest,XPO
10653,614.29,8/29/2024,SKU136,9,Costco,OSD,11,30.09,0,yes,yes,no,invalid,pod does not support shortages,614.29,0,Price Mismatch,Could be a gross vs net issue. Educate the customer to take deduction on net price,WH3,West,XPO
10653,3156.61,8/29/2024,SKU120,7,Costco,OSD,10,18.8,2,yes,yes,no,invalid,pod does not support shortages,3156.61,0,Product Substitution,Work with sales team to communicate for new sku or substitution policy if original sku is not in stock,WH4,South,XPO
10656,687.83,8/29/2024,SKU124,6,Walmart,OSD,11,20.42,4,yes,yes,no,partially invalid,pod supports partial shortages,292.46,395.37,Product Substitution,Work with sales team to communicate for new sku or substitution policy if original sku is not in stock,WH3,Northwest,XPO
10923,1457.7,8/29/2024,SKU110,24,Target,OSD,29,77.56,3,yes,yes,no,invalid,pod does not support shortages,1457.7,0,Load Sequencing,Contact the warehouse and they need to fix the issue with the carrier,WH1,Northwest,XPO
10923,4624.63,8/29/2024,SKU121,38,Meijer,OSD,39,67.85,0,yes,yes,no,invalid,pod does not support shortages,4624.63,0,Product Substitution,Work with sales team to communicate for new sku or substitution policy if original sku is not in stock,WH4,Northeast,XPO
10923,473.24,8/29/2024,SKU110,27,BJ's,OSD,27,65.41,3,yes,yes,no,valid,,0,473.24,,,WH1,East,XPO
10923,2176.59,8/29/2024,SKU107,36,Target,OSD,36,11.96,0,yes,yes,no,valid,,0,2176.59,,,WH3,East,XPO
10923,682.63,8/29/2024,SKU145,36,Costco,OSD,38,61.01,5,yes,yes,no,partially invalid,pod supports partial shortages,528.61,154.02,Unit of Measurement,Create a master table to map all SKUs with the unit of measurement and educate the customer to follow the table for orders and deductions,WH3,East,XPO
10923,4815.75,8/29/2024,SKU144,34,Costco,OSD,37,76.74,4,yes,yes,no,partially invalid,pod supports partial shortages,1222.05,3593.7,Unit of Measurement,Create a master table to map all SKUs with the unit of measurement and educate the customer to follow the table for orders and deductions,WH2,Northeast,XPO
10923,4229.09,8/29/2024,SKU100,33,Meijer,OSD,33,21.3,4,yes,yes,no,partially invalid,pod supports partial shortages,1750.99,2478.1,Unit of Measurement,Create a master table to map all SKUs with the unit of measurement and educate the customer to follow the table for orders and deductions,WH3,Midwest,XPO
11337,119.35,8/29/2024,SKU101,10,Costco,OSD,10,72.23,2,yes,yes,no,valid,,0,119.35,,,WH2,East,XPO
11337,4297.49,8/29/2024,SKU147,7,Meijer,OSD,12,77.49,3,yes,yes,no,valid,,0,4297.49,,,WH4,East,XPO
11337,335.81,8/29/2024,SKU110,31,Meijer,OSD,35,88.82,4,yes,yes,no,partially invalid,pod supports partial shortages,299.89,35.92,Price Mismatch,Could be a gross vs net issue. Educate the customer to take deduction on net price,WH1,South,XPO
11337,2780.94,8/29/2024,SKU135,33,Supervalu,OSD,37,54.06,0,yes,yes,no,partially invalid,pod supports partial shortages,759.51,2021.43,Load Sequencing,Contact the warehouse and they need to fix the issue with the carrier,WH2,Southeast,XPO
11337,618.36,8/29/2024,SKU101,6,Dollar General,OSD,10,87.08,1,yes,yes,no,invalid,pod does not support shortages,618.36,0,Product Substitution,Work with sales team to communicate for new sku or substitution policy if original sku is not in stock,WH1,East,XPO
11556,3517.6,8/29/2024,SKU148,32,Supervalu,OSD,35,46.19,4,yes,yes,no,partially invalid,pod supports partial shortages,2556,961.6,Order Split,Notify the customers if their order is going in multiple shipments in advance to avoid this.,WH1,South,XPO
11556,80.77,8/29/2024,SKU126,49,BJ's,OSD,49,69.78,4,yes,yes,no,partially invalid,pod supports partial shortages,54.06,26.71,Order Split,Notify the customers if their order is going in multiple shipments in advance to avoid this.,WH3,Northeast,XPO
11556,3727.28,8/29/2024,SKU126,32,Amazon,OSD,34,13.54,5,yes,yes,no,partially invalid,pod supports partial shortages,1259.58,2467.7,Unit of Measurement,Create a master table to map all SKUs with the unit of measurement and educate the customer to follow the table for orders and deductions,WH1,Northwest,XPO
11556,1294.84,8/29/2024,SKU132,36,Meijer,OSD,41,90.68,3,yes,yes,no,valid,,0,1294.84,,,WH4,East,XPO
11556,4987.44,8/29/2024,SKU105,30,Supervalu,OSD,30,43.54,4,yes,yes,no,partially invalid,pod supports partial shortages,1364.16,3623.28,Order Split,Notify the customers if their order is going in multiple shipments in advance to avoid this.,WH3,West,XPO
12140,1373.9,8/29/2024,SKU100,36,Amazon,OSD,39,97.62,2,yes,yes,no,invalid,pod does not support shortages,1373.9,0,Product Substitution,Work with sales team to communicate for new sku or substitution policy if original sku is not in stock,WH2,Southwest,XPO
12140,115.72,8/29/2024,SKU134,38,Amazon,OSD,38,71.22,5,yes,yes,no,valid,,0,115.72,,,WH1,Midwest,XPO
12140,4392.51,8/29/2024,SKU108,10,Target,OSD,15,48.92,1,yes,yes,no,invalid,pod does not support shortages,4392.51,0,Product Substitution,Work with sales team to communicate for new sku or substitution policy if original sku is not in stock,WH2,Southeast,XPO
12140,4817.34,8/29/2024,SKU134,26,Amazon,OSD,29,68.02,1,yes,yes,no,invalid,pod does not support shortages,4817.34,0,Order Split,Notify the customers if their order is going in multiple shipments in advance to avoid this.,WH1,Northeast,XPO
12682,4414.82,8/29/2024,SKU133,6,Target,OSD,9,23.38,0,yes,yes,no,valid,,0,4414.82,,,WH4,Northwest,XPO
12682,918.64,8/29/2024,SKU111,12,Kroger,OSD,17,19.55,5,yes,yes,no,invalid,pod does not support shortages,918.64,0,Order Split,Notify the customers if their order is going in multiple shipments in advance to avoid this.,WH4,Northeast,XPO
12682,3006.88,8/29/2024,SKU125,42,Dollar General,OSD,42,35.61,2,yes,yes,no,partially invalid,pod supports partial shortages,2684.46,322.42,Combined Shipment,Contact the customer and check if they have mixed it with another order.,WH4,Southwest,XPO
12682,3389.85,8/29/2024,SKU127,39,Meijer,OSD,40,57.04,5,yes,yes,no,invalid,pod does not support shortages,3389.85,0,Load Sequencing,Contact the warehouse and they need to fix the issue with the carrier,WH2,Southeast,XPO
13014,4334.53,8/29/2024,SKU126,47,Walmart,OSD,50,98.24,2,yes,yes,no,partially invalid,pod supports partial shortages,2864.22,1470.31,Combined Shipment,Contact the customer and check if they have mixed it with another order.,WH2,East,XPO
13014,941.81,8/29/2024,SKU142,17,Meijer,OSD,19,23.96,5,yes,yes,no,partially invalid,pod supports partial shortages,833.4,108.41,Product Substitution,Work with sales team to communicate for new sku or substitution policy if original sku is not in stock,WH1,Southwest,XPO
13243,2558.5,8/29/2024,SKU109,39,Target,OSD,44,29.38,4,yes,yes,no,invalid,unit_of_measurement,2558.5,0,Unit of Measurement,Create a master table to map all SKUs with the unit of measurement and educate the customer to follow the table for orders and deductions,WH1,West,XPO
13243,3420.34,8/29/2024,SKU100,11,Target,OSD,12,42.45,3,yes,yes,no,invalid,pod does not support shortages,3420.34,0,Product Substitution,Work with sales team to communicate for new sku or substitution policy if original sku is not in stock,WH2,Midwest,XPO
13243,2708.68,8/29/2024,SKU115,3,Meijer,OSD,6,72.05,0,yes,yes,no,partially invalid,pod supports partial shortages,2059.28,649.4,Order Split,Notify the customers if their order is going in multiple shipments in advance to avoid this.,WH2,West,XPO
13243,2411.81,8/29/2024,SKU120,7,Walmart,OSD,10,64.51,1,yes,yes,no,partially invalid,pod supports partial shortages,1219.77,1192.04,Product Substitution,Work with sales team to communicate for new sku or substitution policy if original sku is not in stock,WH4,Midwest,XPO
13243,4541.56,8/29/2024,SKU124,22,Costco,OSD,26,37.27,1,yes,yes,no,partially invalid,pod supports partial shortages,1141.45,3400.11,Combined Shipment,Contact the customer and check if they have mixed it with another order.,WH2,Southeast,XPO
13243,3890.47,8/29/2024,SKU122,34,Meijer,OSD,36,11.78,5,yes,yes,no,invalid,pod does not support shortages,3890.47,0,Load Sequencing,Contact the warehouse and they need to fix the issue with the carrier,WH4,Southeast,XPO
13274,214.45,8/29/2024,SKU124,40,BJ's,OSD,41,37.04,1,yes,yes,no,invalid,pod does not support shortages,214.45,0,Combined Shipment,Contact the customer and check if they have mixed it with another order.,WH2,Northeast,XPO
13274,103.64,8/29/2024,SKU106,45,Walmart,OSD,46,67.91,2,yes,yes,no,invalid,pod does not support shortages,103.64,0,Price Mismatch,Could be a gross vs net issue. Educate the customer to take deduction on net price,WH1,Northeast,XPO
13274,3835.38,8/29/2024,SKU111,3,Supervalu,OSD,4,54.13,3,yes,yes,no,partially invalid,pod supports partial shortages,1469.68,2365.7,Order Split,Notify the customers if their order is going in multiple shipments in advance to avoid this.,WH3,Southeast,XPO
13274,1933.23,8/29/2024,SKU115,11,Walmart,OSD,15,88.99,5,yes,yes,no,valid,,0,1933.23,,,WH3,Midwest,XPO
13379,3508.19,8/29/2024,SKU112,20,BJ's,OSD,20,49.07,4,yes,yes,no,partially invalid,pod supports partial shortages,2592.6,915.59,Unit of Measurement,Create a master table to map all SKUs with the unit of measurement and educate the customer to follow the table for orders and deductions,WH1,Northeast,XPO
13379,4751.14,8/29/2024,SKU124,7,Walmart,OSD,9,81.74,3,yes,yes,no,partially invalid,pod supports partial shortages,3061.34,1689.8,Product Substitution,Work with sales team to communicate for new sku or substitution policy if original sku is not in stock,WH1,West,XPO
13379,3273.19,8/29/2024,SKU101,6,Dollar General,OSD,8,12.02,1,yes,yes,no,partially invalid,pod supports partial shortages,1703.86,1569.33,Combined Shipment,Contact the customer and check if they have mixed it with another order.,WH2,Southwest,XPO
13550,4753.48,8/29/2024,SKU144,42,Amazon,OSD,43,49.28,3,yes,yes,no,invalid,pod does not support shortages,4753.48,0,Combined Shipment,Contact the customer and check if they have mixed it with another order.,WH3,West,XPO
14231,2989.29,8/29/2024,SKU147,47,Meijer,OSD,50,81.56,2,yes,yes,no,invalid,pod does not support shortages,2989.29,0,Product Substitution,Work with sales team to communicate for new sku or substitution policy if original sku is not in stock,WH4,Southwest,XPO
14231,1788.74,8/29/2024,SKU120,38,Dollar General,OSD,38,41.07,1,yes,yes,no,invalid,unit_of_measurement,1788.74,0,Unit of Measurement,Create a master table to map all SKUs with the unit of measurement and educate the customer to follow the table for orders and deductions,WH1,Northwest,XPO
14231,112.89,8/29/2024,SKU128,43,Supervalu,OSD,44,43.21,1,yes,yes,no,partially invalid,pod supports partial shortages,38.99,73.9,Unit of Measurement,Create a master table to map all SKUs with the unit of measurement and educate the customer to follow the table for orders and deductions,WH3,Northwest,XPO
14231,1062.61,8/29/2024,SKU134,30,Dollar General,OSD,35,61.02,5,yes,yes,no,valid,,0,1062.61,,,WH3,West,XPO
10115,1701.99,8/30/2024,SKU113,37,Meijer,OSD,42,78.72,4,yes,yes,no,partially invalid,pod supports partial shortages,1119.02,582.97,Product Substitution,Work with sales team to communicate for new sku or substitution policy if original sku is not in stock,WH4,Northeast,XPO
10115,597.19,8/30/2024,SKU121,8,Costco,OSD,12,15.41,4,yes,yes,no,partially invalid,pod supports partial shortages,337.26,259.93,Combined Shipment,Contact the customer and check if they have mixed it with another order.,WH1,South,XPO
10115,4170.19,8/30/2024,SKU103,7,Target,OSD,7,86.51,1,yes,yes,no,partially invalid,pod supports partial shortages,2358.87,1811.32,Order Split,Notify the customers if their order is going in multiple shipments in advance to avoid this.,WH3,Midwest,XPO
10115,1808.69,8/30/2024,SKU117,10,Supervalu,OSD,12,35.66,1,yes,yes,no,invalid,pod does not support shortages,1808.69,0,Price Mismatch,Could be a gross vs net issue. Educate the customer to take deduction on net price,WH2,Southwest,XPO
10115,3608.45,8/30/2024,SKU150,12,Amazon,OSD,13,88.03,5,yes,yes,no,invalid,pod does not support shortages,3608.45,0,Combined Shipment,Contact the customer and check if they have mixed it with another order.,WH2,South,XPO
10608,462.94,8/30/2024,SKU100,30,Dollar General,OSD,35,43.85,5,yes,yes,no,partially invalid,pod supports partial shortages,62.74,400.2,Combined Shipment,Contact the customer and check if they have mixed it with another order.,WH1,East,XPO
10608,2459.86,8/30/2024,SKU114,35,Dollar General,OSD,38,94.2,0,yes,yes,no,partially invalid,pod supports partial shortages,379.83,2080.03,Unit of Measurement,Create a master table to map all SKUs with the unit of measurement and educate the customer to follow the table for orders and deductions,WH3,Midwest,XPO
10608,4465.93,8/30/2024,SKU103,7,Walmart,OSD,7,84.25,4,yes,yes,no,valid,,0,4465.93,,,WH2,Southwest,XPO
10608,4323.39,8/30/2024,SKU144,34,BJ's,OSD,39,33.13,1,yes,yes,no,partially invalid,pod supports partial shortages,2504.72,1818.67,Unit of Measurement,Create a master table to map all SKUs with the unit of measurement and educate the customer to follow the table for orders and deductions,WH3,Northeast,XPO
10608,1536.13,8/30/2024,SKU142,41,Supervalu,OSD,44,95.9,3,yes,yes,no,valid,,0,1536.13,,,WH3,Southwest,XPO
10608,702.51,8/30/2024,SKU125,39,Kroger,OSD,40,21.32,0,yes,yes,no,valid,,0,702.51,,,WH4,Southwest,XPO
10608,4786.71,8/30/2024,SKU112,5,Amazon,OSD,7,59.29,1,yes,yes,no,valid,,0,4786.71,,,WH3,Southeast,XPO
10608,3117.1,8/30/2024,SKU122,30,Target,OSD,33,27.4,1,yes,yes,no,partially invalid,pod supports partial shortages,346.98,2770.12,Product Substitution,Work with sales team to communicate for new sku or substitution policy if original sku is not in stock,WH2,East,XPO
10957,2354.8,8/30/2024,SKU121,23,Costco,OSD,27,16.67,1,yes,yes,no,invalid,pod does not support shortages,2354.8,0,Load Sequencing,Contact the warehouse and they need to fix the issue with the carrier,WH4,West,XPO
10957,3356.8,8/30/2024,SKU150,26,BJ's,OSD,31,77.21,4,yes,yes,no,valid,,0,3356.8,,,WH1,East,XPO
10957,4573.63,8/30/2024,SKU133,2,BJ's,OSD,6,67.39,0,yes,yes,no,valid,,0,4573.63,,,WH1,Southeast,XPO
10957,1424.92,8/30/2024,SKU127,40,Dollar General,OSD,40,55.35,1,yes,yes,no,invalid,pod does not support shortages,1424.92,0,Product Substitution,Work with sales team to communicate for new sku or substitution policy if original sku is not in stock,WH3,Midwest,XPO
10957,2727.89,8/30/2024,SKU114,47,Target,OSD,47,17.51,2,yes,yes,no,partially invalid,pod supports partial shortages,2254.93,472.96,Load Sequencing,Contact the warehouse and they need to fix the issue with the carrier,WH3,Southeast,XPO
11667,2956.1,8/30/2024,SKU114,29,Costco,OSD,34,15.93,3,yes,yes,no,invalid,pod does not support shortages,2956.1,0,Price Mismatch,Could be a gross vs net issue. Educate the customer to take deduction on net price,WH4,West,XPO
11667,1686.53,8/30/2024,SKU140,33,Walmart,OSD,37,28.89,5,yes,yes,no,partially invalid,pod supports partial shortages,1405.92,280.61,Load Sequencing,Contact the warehouse and they need to fix the issue with the carrier,WH2,South,XPO
11667,2609.6,8/30/2024,SKU116,13,BJ's,OSD,14,68.2,4,yes,yes,no,invalid,pod does not support shortages,2609.6,0,Product Substitution,Work with sales team to communicate for new sku or substitution policy if original sku is not in stock,WH1,Northeast,XPO
11667,3087.24,8/30/2024,SKU130,28,Kroger,OSD,30,58.93,3,yes,yes,no,partially invalid,pod supports partial shortages,1607.66,1479.58,Combined Shipment,Contact the customer and check if they have mixed it with another order.,WH3,South,XPO
11698,4335.09,8/30/2024,SKU112,28,Meijer,OSD,32,66.33,0,yes,yes,no,partially invalid,pod supports partial shortages,2670.35,1664.74,Product Substitution,Work with sales team to communicate for new sku or substitution policy if original sku is not in stock,WH4,East,XPO
11698,3199.41,8/30/2024,SKU113,36,Costco,OSD,37,97.57,2,yes,yes,no,valid,,0,3199.41,,,WH3,Southwest,XPO
11698,2262.31,8/30/2024,SKU106,47,Walmart,OSD,49,78.28,5,yes,yes,no,valid,,0,2262.31,,,WH1,Southeast,XPO
11698,2433.79,8/30/2024,SKU127,47,BJ's,OSD,47,13.06,5,yes,yes,no,valid,,0,2433.79,,,WH1,Southwest,XPO
12033,4140.17,8/30/2024,SKU104,16,Supervalu,OSD,18,67.84,0,yes,yes,no,invalid,pod does not support shortages,4140.17,0,Order Split,Notify the customers if their order is going in multiple shipments in advance to avoid this.,WH3,Midwest,XPO
12033,3920.46,8/30/2024,SKU106,32,Target,OSD,34,60.3,2,yes,yes,no,partially invalid,pod supports partial shortages,1255.27,2665.19,Price Mismatch,Could be a gross vs net issue. Educate the customer to take deduction on net price,WH1,Southeast,XPO
12033,3671.51,8/30/2024,SKU132,26,Target,OSD,26,53.54,5,yes,yes,no,partially invalid,pod supports partial shortages,1819.91,1851.6,Unit of Measurement,Create a master table to map all SKUs with the unit of measurement and educate the customer to follow the table for orders and deductions,WH4,Southwest,XPO
12033,3001.72,8/30/2024,SKU132,11,Target,OSD,16,33.58,1,yes,yes,no,partially invalid,pod supports partial shortages,851.6,2150.12,Product Substitution,Work with sales team to communicate for new sku or substitution policy if original sku is not in stock,WH2,South,XPO
13266,1787.61,8/30/2024,SKU137,46,BJ's,OSD,49,35.8,0,yes,yes,no,invalid,pod does not support shortages,1787.61,0,Load Sequencing,Contact the warehouse and they need to fix the issue with the carrier,WH2,Southwest,XPO
13266,1155.7,8/30/2024,SKU139,45,Walmart,OSD,47,77.43,2,yes,yes,no,invalid,pod does not support shortages,1155.7,0,Load Sequencing,Contact the warehouse and they need to fix the issue with the carrier,WH4,Northeast,XPO
14040,775.03,8/30/2024,SKU109,10,Walmart,OSD,11,87.49,2,yes,yes,no,partially invalid,pod supports partial shortages,563.09,211.94,Load Sequencing,Contact the warehouse and they need to fix the issue with the carrier,WH3,Northeast,XPO
14040,4944.46,8/30/2024,SKU124,12,Target,OSD,16,21.19,3,yes,yes,no,invalid,pod does not support shortages,4944.46,0,Load Sequencing,Contact the warehouse and they need to fix the issue with the carrier,WH4,Northwest,XPO
14040,238.45,8/30/2024,SKU131,34,Walmart,OSD,38,88.08,5,yes,yes,no,partially invalid,pod supports partial shortages,125.17,113.28,Load Sequencing,Contact the warehouse and they need to fix the issue with the carrier,WH3,South,XPO
14404,2811.14,8/30/2024,SKU106,45,Target,OSD,45,50.41,5,yes,yes,no,partially invalid,pod supports partial shortages,602.33,2208.81,Product Substitution,Work with sales team to communicate for new sku or substitution policy if original sku is not in stock,WH4,West,XPO
14404,968.83,8/30/2024,SKU121,13,Dollar General,OSD,13,64.38,5,yes,yes,no,invalid,pod does not support shortages,968.83,0,Price Mismatch,Could be a gross vs net issue. Educate the customer to take deduction on net price,WH2,West,XPO
14404,4529.4,8/30/2024,SKU123,49,Supervalu,OSD,54,87.24,2,yes,yes,no,invalid,pod does not support shortages,4529.4,0,Price Mismatch,Could be a gross vs net issue. Educate the customer to take deduction on net price,WH1,South,XPO
14404,2257.28,8/30/2024,SKU137,11,Kroger,OSD,11,43.8,1,yes,yes,no,partially invalid,pod supports partial shortages,1344.31,912.97,Load Sequencing,Contact the warehouse and they need to fix the issue with the carrier,WH3,South,XPO
14991,4953.13,8/30/2024,SKU122,9,Target,OSD,10,85.71,1,yes,yes,no,invalid,pod does not support shortages,4953.13,0,Order Split,Notify the customers if their order is going in multiple shipments in advance to avoid this.,WH4,West,XPO
14991,1997.51,8/30/2024,SKU130,27,Amazon,OSD,27,70.57,5,yes,yes,no,partially invalid,pod supports partial shortages,1184.66,812.85,Unit of Measurement,Create a master table to map all SKUs with the unit of measurement and educate the customer to follow the table for orders and deductions,WH3,Southeast,XPO
14991,4430.74,8/30/2024,SKU132,8,Target,OSD,10,46.79,5,yes,yes,no,valid,,0,4430.74,,,WH1,Northwest,XPO
14991,273.33,8/30/2024,SKU127,5,Meijer,OSD,5,94.03,4,yes,yes,no,valid,,0,273.33,,,WH4,Southwest,XPO
10495,3183.41,8/31/2024,SKU108,6,Supervalu,OSD,11,74.1,3,yes,yes,no,invalid,pod does not support shortages,3183.41,0,Price Mismatch,Could be a gross vs net issue. Educate the customer to take deduction on net price,WH1,Northwest,XPO
10495,2580.39,8/31/2024,SKU107,8,Target,OSD,12,23.97,3,yes,yes,no,partially invalid,pod supports partial shortages,2276.19,304.2,Load Sequencing,Contact the warehouse and they need to fix the issue with the carrier,WH3,Southeast,XPO
10495,2922.05,8/31/2024,SKU131,6,Kroger,OSD,8,79.23,4,yes,yes,no,invalid,pod does not support shortages,2922.05,0,Price Mismatch,Could be a gross vs net issue. Educate the customer to take deduction on net price,WH1,West,XPO
10779,1293.24,8/31/2024,SKU127,25,Walmart,OSD,29,86.5,0,yes,yes,no,valid,,0,1293.24,,,WH2,East,XPO
10779,1711.55,8/31/2024,SKU130,26,Walmart,OSD,28,33.87,1,yes,yes,no,partially invalid,pod supports partial shortages,846.28,865.27,Price Mismatch,Could be a gross vs net issue. Educate the customer to take deduction on net price,WH3,Southeast,XPO
10779,141.12,8/31/2024,SKU129,27,Supervalu,OSD,29,62.6,0,yes,yes,no,partially invalid,pod supports partial shortages,39.15,101.97,Price Mismatch,Could be a gross vs net issue. Educate the customer to take deduction on net price,WH1,Northeast,XPO
10779,2687.43,8/31/2024,SKU118,27,Walmart,OSD,29,19.37,0,yes,yes,no,valid,,0,2687.43,,,WH3,Northwest,XPO
10779,4884.66,8/31/2024,SKU109,49,Kroger,OSD,50,17.72,1,yes,yes,no,invalid,pod does not support shortages,4884.66,0,Product Substitution,Work with sales team to communicate for new sku or substitution policy if original sku is not in stock,WH1,West,XPO
10779,1184.35,8/31/2024,SKU114,32,Meijer,OSD,36,46.83,5,yes,yes,no,invalid,unit_of_measurement,1184.35,0,Unit of Measurement,Create a master table to map all SKUs with the unit of measurement and educate the customer to follow the table for orders and deductions,WH1,Midwest,XPO
11125,3541.75,8/31/2024,SKU108,25,Supervalu,OSD,27,29.17,3,yes,yes,no,valid,,0,3541.75,,,WH2,Midwest,XPO
11125,3008.65,8/31/2024,SKU135,11,Meijer,OSD,11,30.76,1,yes,yes,no,invalid,pod does not support shortages,3008.65,0,Order Split,Notify the customers if their order is going in multiple shipments in advance to avoid this.,WH1,Southeast,XPO
11789,3725.57,8/31/2024,SKU131,42,Target,OSD,42,79.09,3,yes,yes,no,partially invalid,pod supports partial shortages,582.59,3142.98,Product Substitution,Work with sales team to communicate for new sku or substitution policy if original sku is not in stock,WH2,West,XPO
11789,2117.48,8/31/2024,SKU138,14,Kroger,OSD,16,74.64,0,yes,yes,no,valid,,0,2117.48,,,WH4,West,XPO
11789,3967.75,8/31/2024,SKU132,43,Dollar General,OSD,48,86.56,3,yes,yes,no,valid,,0,3967.75,,,WH4,Southwest,XPO
13359,3131.25,8/31/2024,SKU144,26,Meijer,OSD,27,13.64,0,yes,yes,no,partially invalid,pod supports partial shortages,345.62,2785.63,Unit of Measurement,Create a master table to map all SKUs with the unit of measurement and educate the customer to follow the table for orders and deductions,WH1,Southwest,XPO
13359,3995.64,8/31/2024,SKU114,22,Amazon,OSD,24,80.26,0,yes,yes,no,partially invalid,pod supports partial shortages,1769.27,2226.37,Product Substitution,Work with sales team to communicate for new sku or substitution policy if original sku is not in stock,WH2,South,XPO
13359,2209.47,8/31/2024,SKU142,37,Amazon,OSD,39,32.7,3,yes,yes,no,partially invalid,pod supports partial shortages,588.09,1621.38,Unit of Measurement,Create a master table to map all SKUs with the unit of measurement and educate the customer to follow the table for orders and deductions,WH2,East,XPO
